"Tree","BM_lnL","BM_AICc","BM_sigsq","BM_z0","BM_rows","BM_convergence","BM_Delta_AICc","BM_AICc_Weight","OU_lnL","OU_AICc","OU_alpha","OU_sigsq","OU_z0","OU_rows","OU_convergence","OU_Delta_AICc","OU_AICc_Weight","EB_lnL","EB_AICc","EB_a","EB_sigsq","EB_z0","EB_rows","EB_convergence","EB_Delta_AICc","EB_AICc_Weight","Best","Best_AICc_Weight"
"47",-99.629898081084,203.413642316014,0.013371695236596,5.34030998658192,100,0,12.5115139190241,0.00191444911865958,-92.2952200426509,190.90212839699,0.0331012202210242,0.0342739306879235,5.22955254989614,100,0,0,0.997434890811642,-99.6301748564277,205.572038024544,-1e-06,0.0133731161857363,5.34031032717831,100,0,14.6699096275536,0.00065066006969803,"OU",0.997434890811642
"48",-103.045478385393,210.244802924632,0.0135043279184354,5.26031815727604,100,0,17.5719090710561,0.000152833825980818,-93.1806027709437,192.672893853576,0.103091334379869,0.098084209935376,5.17663466378519,100,0,0,0.999795224985816,-103.045796450502,212.403281212692,-1e-06,0.0135056815171891,5.26031780767647,100,0,19.7303873591166,5.19411882027905e-05,"OU",0.999795224985816
"49",-99.3814857299379,202.916817613722,0.0145633785688224,5.28727556130232,100,0,12.4039168457217,0.00201997813736223,-92.100606228156,190.512900768,0.0373354540585439,0.0383284404059622,5.22183269128467,100,0,0,0.997293501334687,-99.3817704911729,205.075229294034,-1e-06,0.0145650756999068,5.28727760872043,100,0,14.5623285260339,0.000686520527950639,"OU",0.997293501334687
"50",-101.003162311099,206.160170776045,0.0107601902407878,5.25283789584343,100,0,14.1685761498761,0.000837231063644755,-92.8399531572401,191.991594626168,0.0574466316974123,0.0550902594008742,5.18509049808427,100,0,0,0.998878240710324,-101.003508864862,208.318706041412,-1e-06,0.0107613530424047,5.25283739965492,100,0,16.327111415244,0.000284528226031527,"OU",0.998878240710324
"51",-102.083201951476,208.320250056797,0.010176512233399,5.29057558070533,100,0,14.7027113064484,0.00064117054237418,-93.6529252193303,193.617538750349,2.7136689568941,2.59140527717499,5.17324465990211,100,0,0,0.999140942740887,-102.083601071097,210.478890453882,-1e-06,0.010177883294478,5.29057622610026,100,0,16.8613517035336,0.000217886716738597,"OU",0.999140942740887
"52",-103.264485213028,210.682816579902,0.0138763421883413,5.23373926826946,100,0,18.2606692600573,0.000108313607648764,-93.0552295040783,192.422147319845,0.106912111545303,0.101748368849231,5.1854261096774,100,0,0,0.999854876436082,-103.264826568576,212.841341448841,-1e-06,0.0138778922668025,5.23373821781096,100,0,20.4191941289958,3.68099562690124e-05,"OU",0.999854876436082
"53",-102.215633737181,208.585113628209,0.0116830323938695,5.30875593216615,100,0,14.9675738865629,0.000561701597180933,-93.6529257149787,193.617539741646,1.76080458043777,1.68148673971982,5.17324465913332,100,0,0,0.999247411665093,-102.216003145314,210.743694602316,-1e-06,0.0116845003426511,5.30875644724235,100,0,17.1261548606703,0.000190886737726302,"OU",0.999247411665093
"54",-98.4285440078766,201.010934169599,0.0126824072806785,5.16489788095272,100,0,10.1694690756816,0.00613960526456342,-92.2648883911147,190.841465093918,0.0280684467355699,0.0301220718472497,5.21749677897831,100,0,0,0.991773732246304,-98.4288174854602,203.169323282609,-1e-06,0.0126834765861602,5.16489581144366,100,0,12.327858188691,0.00208666248913247,"OU",0.991773732246304
"55",-100.445626673631,205.045099501109,0.0148052812694153,5.25927683379175,100,0,13.9921074989578,0.000914366003918423,-92.3706518452315,191.052992002151,0.0354746239524603,0.0368025489527377,5.20731276459349,100,0,0,0.998774875815312,-100.445921472,207.203531255688,-1e-06,0.0148070285430207,5.25927790390076,100,0,16.1505392535371,0.000310758180769883,"OU",0.998774875815312
"56",-96.915863674782,197.98557350341,0.0131800390749473,5.20402109101203,100,0,10.1600022795153,0.0061684941710211,-90.7569414561033,187.825571223895,0.0291330157740812,0.0300765526882971,5.23066000668779,100,0,0,0.991734957183885,-96.9161048570695,200.143898025827,-1e-06,0.0131813405578055,5.20401982363086,100,0,12.3183268019324,0.00209654864509366,"OU",0.991734957183885
