"","No_Sequences","No_Unique_Sites","No_Unique_Sites_Seqs","Mean_Bio1","Mean_Bio2","Mean_Bio3","Mean_Bio4","Mean_Bio5","Mean_Bio6","Mean_Bio7","Mean_Bio8","Mean_Bio9","Mean_Bio10","Mean_Bio11","Mean_Bio12","Mean_Bio13","Mean_Bio14","Mean_Bio15","Mean_Bio16","Mean_Bio17","Mean_Bio18","Mean_Bio19","SD_Bio1","SD_Bio2","SD_Bio3","SD_Bio4","SD_Bio5","SD_Bio6","SD_Bio7","SD_Bio8","SD_Bio9","SD_Bio10","SD_Bio11","SD_Bio12","SD_Bio13","SD_Bio14","SD_Bio15","SD_Bio16","SD_Bio17","SD_Bio18","SD_Bio19","SE_Bio1","SE_Bio2","SE_Bio3","SE_Bio4","SE_Bio5","SE_Bio6","SE_Bio7","SE_Bio8","SE_Bio9","SE_Bio10","SE_Bio11","SE_Bio12","SE_Bio13","SE_Bio14","SE_Bio15","SE_Bio16","SE_Bio17","SE_Bio18","SE_Bio19"
"A_97.5_33",5,2,2,20.633332824707,22.966667175293,6.36666679382324,457.833349609375,41.3333343505859,4.43333320617676,36.9,25.233332824707,17.066667175293,25.9666656494141,15.166667175293,680.333312988281,877.333312988281,543.333312988281,10059.3330078125,806,578.333312988281,772,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20759734483298,1.93428693250198,0.232312794002025,94.2643873201001,3.91789898271026,4.65257945571301,4.2896273412891,2.94042671309786,3.76036600458138,3.05384126715244,3.63826497490673,65.5720917069529,81.8280140410892,58.6429933892557,2401.74385431817,78.2001649858368,61.808561695707,75.874244826494,66.14169541017
"A_97.5_35",2,1,1,8.5,14.733332824707,4.13333320617676,642.4,26.4666656494141,-9.5,35.9666656494141,16.133332824707,1.43333330154419,16.4,0.9,590,909,354,19350.333984375,850,386.666656494141,845,394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.07165671319038,3.05837617750332,0.367318779321952,149.045083085906,6.19474221391054,7.3563740374798,6.782496355903,4.64922285309584,5.94566070517216,4.82854700840823,5.7526020259603,103.678580367705,129.38145038904,92.7227139601226,3797.49046797852,123.645317378097,97.7279169287366,119.967714698484,104.579202900621
"A_97.5_37",1,1,1,21.7,14.1,4.33333320617676,631.8,40.0666656494141,7.6,32.4,29.2666656494141,15.233332824707,29.8333343505859,14.466667175293,932.333312988281,1334.66662597656,626.666687011719,25455,1269.33337402344,659.333312988281,1240.33337402344,679.333312988281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.17240570749439,4.32519706906398,0.519467199431434,210.781577905113,8.76068845431742,10.4034839336933,9.59189833326412,6.57499401334308,8.40843400652325,6.82859666584695,8.13540780404801,146.623654483597,182.973001859683,131.129719622447,5370.46252279777,174.86088476003,138.20814554309,169.659969173502,147.897327084226
"A_97.5_38",1,1,1,-3.53333320617676,11.9,4.36666679382324,472.3,4.1,-23.466667175293,27.5666656494141,1.56666669845581,-9.53333358764648,1.6,-9.63333358764648,286.666656494141,368.333343505859,210,5611.66650390625,355,220.33332824707,354.333343505859,220.33332824707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.17240570749439,4.32519706906398,0.519467199431434,210.781577905113,8.76068845431742,10.4034839336933,9.59189833326412,6.57499401334308,8.40843400652325,6.82859666584695,8.13540780404801,146.623654483597,182.973001859683,131.129719622447,5370.46252279777,174.86088476003,138.20814554309,169.659969173502,147.897327084226
"A_97.5_39",2,1,1,19.833332824707,5.4,3.86666679382324,231.2,25.9666656494141,14.133332824707,11.8333335876465,22.833332824707,17.266667175293,22.833332824707,17.233332824707,1086,1345,875.333312988281,16268.6669921875,1304.33337402344,903,1303,907.333312988281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.07165671319038,3.05837617750332,0.367318779321952,149.045083085906,6.19474221391054,7.3563740374798,6.782496355903,4.64922285309584,5.94566070517216,4.82854700840823,5.7526020259603,103.678580367705,129.38145038904,92.7227139601226,3797.49046797852,123.645317378097,97.7279169287366,119.967714698484,104.579202900621
"A_97.5_40",1,1,1,13.266667175293,27.8,5.03333320617676,979.2,41.0333343505859,-14.4,55.4666687011719,24.966667175293,1.86666660308838,25.6333343505859,1.4,498.333343505859,819,292,17131.333984375,732,327.666656494141,701,330.333343505859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.17240570749439,4.32519706906398,0.519467199431434,210.781577905113,8.76068845431742,10.4034839336933,9.59189833326412,6.57499401334308,8.40843400652325,6.82859666584695,8.13540780404801,146.623654483597,182.973001859683,131.129719622447,5370.46252279777,174.86088476003,138.20814554309,169.659969173502,147.897327084226
"A_97.5_43",2,1,1,25.6,14.9,5.36666679382324,256,38.8,10.8,28,27.4666656494141,22.566667175293,27.9333343505859,21.933332824707,1639,2013.66662597656,1143.66662597656,30210.333984375,1976.66662597656,1250.66662597656,1868.66662597656,1287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.07165671319038,3.05837617750332,0.367318779321952,149.045083085906,6.19474221391054,7.3563740374798,6.782496355903,4.64922285309584,5.94566070517216,4.82854700840823,5.7526020259603,103.678580367705,129.38145038904,92.7227139601226,3797.49046797852,123.645317378097,97.7279169287366,119.967714698484,104.579202900621
"A_97.5_46",2,2,2,6.93333358764648,28.5333343505859,5.1,944.86669921875,33.6333343505859,-22.566667175293,56.1666687011719,18.066667175293,-4.3,18.433332824707,-4.73333320617676,473,805.333312988281,262,18505,727.666687011719,287,716.666687011719,290.666656494141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07165671319038,3.05837617750332,0.367318779321952,149.045083085906,6.19474221391054,7.3563740374798,6.782496355903,4.64922285309584,5.94566070517216,4.82854700840823,5.7526020259603,103.678580367705,129.38145038904,92.7227139601226,3797.49046797852,123.645317378097,97.7279169287366,119.967714698484,104.579202900621
"A_97.5_47",2,1,1,5.73333320617676,27.8,4.83333320617676,1046.3,33.2666656494141,-24.366667175293,57.6666687011719,17.833332824707,-7.26666641235352,18.166667175293,-7.36666641235352,472.333343505859,817.666687011719,252.33332824707,19343.333984375,733.333312988281,270.333343505859,723.666687011719,272.666656494141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.07165671319038,3.05837617750332,0.367318779321952,149.045083085906,6.19474221391054,7.3563740374798,6.782496355903,4.64922285309584,5.94566070517216,4.82854700840823,5.7526020259603,103.678580367705,129.38145038904,92.7227139601226,3797.49046797852,123.645317378097,97.7279169287366,119.967714698484,104.579202900621
"A_97.5_48",2,2,2,6.93333358764648,28.5333343505859,5.1,944.86669921875,33.6333343505859,-22.566667175293,56.1666687011719,18.066667175293,-4.3,18.433332824707,-4.73333320617676,473,805.333312988281,262,18505,727.666687011719,287,716.666687011719,290.666656494141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07165671319038,3.05837617750332,0.367318779321952,149.045083085906,6.19474221391054,7.3563740374798,6.782496355903,4.64922285309584,5.94566070517216,4.82854700840823,5.7526020259603,103.678580367705,129.38145038904,92.7227139601226,3797.49046797852,123.645317378097,97.7279169287366,119.967714698484,104.579202900621
