"Tree","MDI_1","p_1","MDI_2","p_2","MDI_3","p_3","MDI_4","p_4","MDI_5","p_5","MDI_6","p_6","MDI_7","p_7","MDI_8","p_8","MDI_9","p_9","MDI_10","p_10","MDI_11","p_11","MDI_12","p_12","MDI_13","p_13","MDI_14","p_14","MDI_15","p_15","MDI_16","p_16","MDI_17","p_17","MDI_18","p_18","MDI_19","p_19"
208,0.018,0.522,0.198,0.866,0.495,1,0.331,0.983,0.191,0.874,0.049,0.598,0.237,0.925,0.121,0.751,0.033,0.573,0.123,0.768,0.018,0.521,-0.026,0.405,0.061,0.629,0.006,0.483,0.551,1,0.042,0.573,-0.007,0.469,0.03,0.547,0.007,0.494
209,-0.043,0.352,0.143,0.833,0.463,1,0.3,0.975,0.121,0.785,0.009,0.499,0.206,0.914,0.069,0.653,-0.019,0.396,0.072,0.684,-0.031,0.377,-0.1,0.199,-0.002,0.467,-0.074,0.278,0.483,0.997,-0.023,0.408,-0.074,0.268,-0.022,0.405,-0.061,0.295
210,-0.034,0.391,0.196,0.864,0.487,1,0.345,0.98,0.164,0.814,0.025,0.544,0.242,0.938,0.1,0.718,-0.032,0.395,0.093,0.694,-0.039,0.376,-0.102,0.223,-0.004,0.482,-0.07,0.31,0.486,1,-0.02,0.425,-0.07,0.308,-0.014,0.436,-0.073,0.29
211,0.014,0.518,0.192,0.895,0.451,0.998,0.287,0.965,0.198,0.897,0.045,0.578,0.212,0.911,0.122,0.763,0.03,0.553,0.125,0.77,0.014,0.498,-0.052,0.334,0.035,0.568,-0.016,0.43,0.49,0.999,0.019,0.515,-0.022,0.408,0.024,0.536,-0.02,0.416
212,0.007,0.501,0.214,0.874,0.522,0.999,0.339,0.97,0.188,0.845,0.072,0.636,0.262,0.941,0.119,0.756,0.017,0.517,0.122,0.739,0.017,0.514,-0.034,0.395,0.063,0.615,-0.033,0.403,0.547,0.999,0.033,0.562,-0.033,0.427,0.038,0.572,-0.008,0.462
213,-0.016,0.45,0.193,0.857,0.417,0.994,0.28,0.945,0.173,0.829,0.011,0.501,0.228,0.893,0.094,0.681,-0.03,0.4,0.103,0.708,-0.044,0.37,-0.089,0.274,0.004,0.496,-0.071,0.319,0.49,0.999,0.002,0.488,-0.081,0.296,0.012,0.499,-0.068,0.323
214,-0.078,0.284,0.152,0.837,0.458,1,0.3,0.977,0.119,0.77,-0.014,0.422,0.223,0.937,0.04,0.569,-0.048,0.355,0.057,0.615,-0.061,0.316,-0.134,0.168,-0.062,0.318,-0.083,0.256,0.433,1,-0.071,0.277,-0.085,0.242,-0.06,0.298,-0.075,0.286
215,0.035,0.565,0.262,0.961,0.463,1,0.326,0.989,0.253,0.953,0.048,0.601,0.282,0.985,0.149,0.823,0.022,0.519,0.162,0.84,0.01,0.502,-0.06,0.339,0.034,0.564,-0.009,0.458,0.492,1,0.008,0.505,-0.03,0.389,0.025,0.548,-0.016,0.433
216,0.066,0.659,0.215,0.941,0.402,1,0.266,0.975,0.216,0.926,0.086,0.708,0.215,0.935,0.148,0.855,0.061,0.653,0.159,0.868,0.059,0.637,0.017,0.528,0.058,0.634,0.038,0.59,0.428,1,0.057,0.635,0.02,0.539,0.058,0.619,0.026,0.56
217,-0.006,0.455,0.183,0.869,0.611,1,0.351,0.991,0.206,0.899,0.002,0.485,0.249,0.931,0.15,0.816,-0.01,0.448,0.147,0.793,-0.028,0.4,-0.108,0.195,0.013,0.506,-0.072,0.284,0.567,1,-0.03,0.401,-0.076,0.281,-0.016,0.428,-0.068,0.295
218,0.067,0.644,0.249,0.931,0.604,1,0.401,0.99,0.307,0.965,0.066,0.649,0.322,0.976,0.242,0.912,0.047,0.596,0.233,0.918,0.047,0.603,-0.055,0.356,0.048,0.593,0.011,0.507,0.617,1,0.007,0.493,-0.007,0.455,0.034,0.57,-0.005,0.46
219,0.01,0.494,0.225,0.963,0.597,1,0.372,0.998,0.229,0.955,0.031,0.572,0.272,0.973,0.171,0.898,0.008,0.484,0.168,0.892,-0.017,0.428,-0.073,0.241,0.016,0.516,-0.021,0.395,0.534,1,-0.005,0.455,-0.036,0.356,0.015,0.518,-0.026,0.388
220,-0.011,0.458,0.158,0.843,0.353,0.999,0.296,0.978,0.154,0.847,0.025,0.539,0.221,0.93,0.085,0.68,0.01,0.496,0.089,0.707,-0.002,0.457,-0.054,0.326,-0.002,0.467,-0.02,0.43,0.406,0.998,-0.003,0.457,-0.024,0.434,-0.011,0.445,-0.013,0.436
221,0.036,0.556,0.247,0.904,0.56,1,0.328,0.973,0.212,0.871,0.05,0.594,0.259,0.927,0.147,0.772,0.028,0.538,0.151,0.783,0.024,0.529,-0.022,0.429,0.066,0.617,-0.003,0.477,0.525,1,0.055,0.592,-0.003,0.472,0.062,0.617,-0.005,0.471
222,0.034,0.56,0.231,0.913,0.432,0.999,0.302,0.982,0.21,0.885,0.055,0.614,0.252,0.946,0.134,0.788,0.045,0.59,0.14,0.818,0.022,0.537,-0.016,0.442,0.055,0.606,-0.002,0.477,0.47,0.998,0.038,0.565,-0.001,0.469,0.051,0.609,0.004,0.489
223,-0.038,0.34,0.147,0.854,0.377,0.998,0.299,0.986,0.101,0.767,0.021,0.538,0.216,0.943,0.052,0.62,-0.018,0.397,0.057,0.641,-0.028,0.375,-0.105,0.18,-0.041,0.338,-0.054,0.311,0.385,0.997,-0.057,0.301,-0.059,0.287,-0.047,0.319,-0.057,0.288
224,0.055,0.611,0.237,0.941,0.477,1,0.318,0.985,0.225,0.924,0.082,0.673,0.256,0.941,0.148,0.834,0.069,0.666,0.138,0.82,0.039,0.585,-0.024,0.418,0.048,0.602,0.007,0.499,0.454,1,0.028,0.547,0,0.488,0.046,0.613,0.018,0.529
225,0.018,0.523,0.185,0.879,0.517,1,0.33,0.979,0.211,0.908,0.047,0.579,0.237,0.935,0.141,0.807,0.012,0.511,0.147,0.792,-0.002,0.466,-0.055,0.338,0.051,0.608,-0.023,0.42,0.541,0.999,0.02,0.53,-0.036,0.385,0.047,0.603,-0.025,0.432
226,0.021,0.529,0.197,0.892,0.466,0.999,0.326,0.988,0.195,0.891,0.067,0.643,0.231,0.93,0.113,0.738,0.042,0.579,0.121,0.748,0.032,0.55,-0.031,0.391,0.048,0.584,0.013,0.5,0.46,1,0.018,0.528,0.024,0.547,0.036,0.566,0.009,0.497
227,0.044,0.584,0.253,0.937,0.566,1,0.36,0.987,0.254,0.938,0.067,0.638,0.291,0.952,0.172,0.842,0.034,0.569,0.165,0.835,0.03,0.564,-0.06,0.323,0.037,0.576,-0.017,0.44,0.573,0.999,0.016,0.52,-0.026,0.42,0.039,0.572,-0.016,0.437
228,-0.002,0.473,0.218,0.925,0.708,1,0.426,0.998,0.208,0.924,0.04,0.586,0.288,0.967,0.145,0.815,0.001,0.465,0.152,0.843,-0.011,0.442,-0.076,0.271,0.022,0.531,-0.009,0.443,0.597,1,-0.01,0.435,-0.022,0.405,-0.002,0.459,-0.02,0.412
229,0.013,0.516,0.194,0.876,0.372,0.998,0.284,0.964,0.215,0.904,0.023,0.527,0.217,0.923,0.129,0.769,-0.016,0.454,0.133,0.783,-0.02,0.431,-0.108,0.234,0,0.473,-0.062,0.339,0.437,1,-0.008,0.471,-0.069,0.322,0.001,0.484,-0.083,0.306
230,0.011,0.496,0.167,0.878,0.519,1,0.331,0.992,0.197,0.914,0.048,0.59,0.223,0.945,0.134,0.812,0.026,0.531,0.131,0.815,0.002,0.492,-0.018,0.41,0.081,0.699,0.003,0.495,0.575,1,0.061,0.632,-0.003,0.47,0.049,0.589,0.012,0.495
231,0.037,0.572,0.237,0.917,0.623,1,0.39,0.995,0.276,0.957,0.053,0.599,0.291,0.954,0.189,0.865,0.02,0.522,0.19,0.878,0.023,0.537,-0.067,0.316,0.065,0.632,-0.016,0.43,0.617,1,0.026,0.545,-0.026,0.407,0.05,0.591,-0.025,0.41
232,0.05,0.61,0.219,0.933,0.517,1,0.332,0.994,0.207,0.916,0.079,0.677,0.257,0.963,0.151,0.848,0.05,0.6,0.15,0.832,0.043,0.588,-0.036,0.365,0.08,0.66,0.011,0.496,0.526,1,0.037,0.571,-0.001,0.476,0.048,0.598,0.014,0.498
233,-0.009,0.451,0.2,0.881,0.536,1,0.375,0.988,0.197,0.872,0.039,0.565,0.275,0.947,0.123,0.775,0.011,0.487,0.126,0.759,0.002,0.474,-0.077,0.287,0.026,0.539,-0.027,0.402,0.549,1,-0.002,0.461,-0.028,0.405,0.005,0.484,-0.029,0.411
234,0.009,0.498,0.208,0.858,0.58,0.999,0.313,0.951,0.208,0.856,0.02,0.509,0.229,0.89,0.139,0.747,0.004,0.501,0.13,0.742,-0.032,0.421,-0.094,0.276,0.047,0.576,-0.066,0.328,0.626,0.998,0.018,0.521,-0.081,0.293,0.031,0.546,-0.078,0.323
235,0.003,0.481,0.183,0.866,0.575,0.999,0.391,0.994,0.173,0.829,0.062,0.629,0.266,0.958,0.105,0.732,0.026,0.535,0.111,0.744,0.015,0.505,-0.057,0.351,0.048,0.584,0.001,0.474,0.565,1,0.018,0.506,-0.007,0.466,0.033,0.558,-0.002,0.458
236,0.007,0.485,0.149,0.83,0.415,0.998,0.293,0.979,0.136,0.806,0.048,0.609,0.201,0.906,0.1,0.703,0.023,0.528,0.097,0.693,0.015,0.518,-0.045,0.374,0.046,0.587,-0.002,0.468,0.461,1,0.02,0.533,-0.019,0.424,0.03,0.545,-0.016,0.435
237,0.033,0.554,0.236,0.926,0.55,1,0.377,0.991,0.236,0.921,0.081,0.669,0.287,0.97,0.166,0.82,0.049,0.586,0.155,0.816,0.038,0.568,-0.032,0.404,0.069,0.652,0.013,0.522,0.589,1,0.047,0.604,0.001,0.479,0.055,0.621,0.008,0.502
238,0.024,0.541,0.247,0.907,0.613,0.998,0.354,0.974,0.227,0.9,0.052,0.593,0.264,0.938,0.154,0.787,0.025,0.538,0.15,0.777,0.005,0.497,-0.079,0.291,0.057,0.621,-0.041,0.389,0.639,1,0.029,0.542,-0.047,0.375,0.041,0.575,-0.043,0.361
239,-0.043,0.375,0.15,0.805,0.487,1,0.296,0.973,0.166,0.81,-0.003,0.461,0.216,0.905,0.096,0.705,-0.031,0.414,0.083,0.675,-0.039,0.386,-0.111,0.213,-0.027,0.399,-0.083,0.277,0.503,1,-0.046,0.358,-0.09,0.275,-0.036,0.378,-0.084,0.292
240,0.071,0.627,0.286,0.92,0.656,1,0.399,0.988,0.3,0.948,0.087,0.646,0.314,0.941,0.202,0.859,0.06,0.61,0.204,0.839,0.052,0.584,-0.026,0.433,0.095,0.679,0.008,0.496,0.672,1,0.075,0.633,-0.003,0.47,0.086,0.66,0.012,0.498
241,0.065,0.642,0.241,0.937,0.498,1,0.346,0.99,0.258,0.959,0.085,0.685,0.289,0.969,0.183,0.884,0.041,0.579,0.186,0.894,0.034,0.567,-0.04,0.373,0.052,0.599,-0.012,0.446,0.535,1,0.03,0.563,-0.019,0.431,0.045,0.6,-0.018,0.428
242,-0.008,0.454,0.186,0.878,0.703,1,0.419,0.993,0.214,0.901,0.031,0.554,0.274,0.941,0.136,0.79,-0.002,0.463,0.13,0.772,-0.017,0.426,-0.091,0.251,0.032,0.554,-0.018,0.43,0.625,1,-0.015,0.436,-0.04,0.37,-0.016,0.441,-0.012,0.448
243,0.05,0.584,0.198,0.862,0.478,0.999,0.314,0.979,0.217,0.886,0.086,0.658,0.239,0.917,0.151,0.795,0.047,0.584,0.153,0.802,0.052,0.592,-0.007,0.47,0.071,0.648,0.023,0.533,0.509,1,0.059,0.607,0.011,0.493,0.066,0.621,0.013,0.5
244,-0.047,0.337,0.141,0.824,0.473,1,0.322,0.988,0.111,0.79,0.033,0.579,0.216,0.928,0.049,0.626,-0.011,0.444,0.057,0.646,-0.025,0.388,-0.094,0.197,-0.028,0.381,-0.042,0.333,0.449,1,-0.047,0.334,-0.051,0.319,-0.044,0.344,-0.036,0.369
245,0.031,0.543,0.213,0.898,0.494,0.999,0.332,0.973,0.206,0.897,0.065,0.643,0.257,0.922,0.135,0.774,0.03,0.562,0.13,0.781,0.01,0.503,-0.071,0.321,0.034,0.566,-0.028,0.418,0.523,0.999,0.014,0.521,-0.041,0.38,0.022,0.533,-0.025,0.425
246,-0.001,0.463,0.21,0.88,0.453,1,0.318,0.974,0.229,0.888,0.021,0.517,0.26,0.937,0.131,0.759,-0.011,0.463,0.147,0.77,-0.016,0.44,-0.094,0.289,0.004,0.491,-0.072,0.306,0.515,0.998,-0.018,0.435,-0.082,0.298,-0.003,0.475,-0.061,0.335
247,0.103,0.708,0.217,0.906,0.545,1,0.376,0.988,0.263,0.955,0.125,0.761,0.271,0.963,0.222,0.931,0.103,0.711,0.225,0.911,0.094,0.7,-0.016,0.44,0.088,0.711,0.031,0.559,0.577,1,0.074,0.64,0.018,0.524,0.087,0.686,0.027,0.558
248,0.079,0.647,0.228,0.891,0.488,0.999,0.352,0.976,0.234,0.913,0.116,0.723,0.267,0.936,0.173,0.842,0.073,0.643,0.17,0.827,0.059,0.64,-0.022,0.419,0.069,0.641,0.016,0.531,0.538,0.999,0.052,0.617,0.005,0.506,0.06,0.618,0.017,0.528
249,-0.003,0.46,0.192,0.857,0.558,1,0.322,0.981,0.172,0.852,0.033,0.558,0.249,0.94,0.085,0.681,0.007,0.491,0.095,0.726,0,0.475,-0.078,0.28,0.008,0.501,-0.029,0.411,0.524,1,-0.003,0.461,-0.046,0.368,0.018,0.516,-0.026,0.41
250,-0.065,0.306,0.139,0.783,0.368,0.991,0.217,0.899,0.089,0.703,-0.017,0.434,0.163,0.843,0.019,0.521,-0.056,0.333,0.027,0.53,-0.054,0.325,-0.132,0.162,-0.054,0.349,-0.103,0.195,0.411,0.997,-0.066,0.301,-0.099,0.226,-0.065,0.308,-0.096,0.247
251,-0.053,0.324,0.118,0.772,0.308,0.987,0.204,0.915,0.082,0.702,0,0.462,0.154,0.844,0.02,0.529,-0.04,0.358,0.015,0.517,-0.042,0.35,-0.126,0.144,-0.068,0.303,-0.102,0.211,0.319,0.986,-0.086,0.246,-0.101,0.219,-0.08,0.276,-0.088,0.238
252,0.006,0.478,0.181,0.905,0.465,1,0.316,0.995,0.179,0.895,0.044,0.606,0.244,0.957,0.118,0.798,0.009,0.5,0.119,0.798,0.005,0.499,-0.075,0.247,0.02,0.533,-0.029,0.377,0.475,1,0.004,0.486,-0.042,0.343,0,0.481,-0.022,0.412
253,-0.022,0.435,0.18,0.834,0.46,0.997,0.279,0.938,0.181,0.83,0.002,0.491,0.205,0.862,0.091,0.684,-0.023,0.427,0.099,0.699,-0.044,0.376,-0.098,0.246,-0.005,0.471,-0.07,0.339,0.518,0.997,-0.024,0.427,-0.075,0.299,-0.015,0.442,-0.044,0.363
254,-0.016,0.433,0.186,0.901,0.514,1,0.361,0.998,0.204,0.921,0.019,0.526,0.272,0.978,0.124,0.777,-0.006,0.443,0.128,0.796,-0.029,0.401,-0.09,0.245,0.023,0.531,-0.051,0.342,0.562,1,-0.009,0.442,-0.067,0.294,-0.014,0.441,-0.056,0.315
255,0.051,0.609,0.237,0.908,0.549,1,0.349,0.985,0.245,0.929,0.087,0.683,0.275,0.951,0.177,0.845,0.035,0.567,0.171,0.837,0.035,0.553,-0.057,0.331,0.058,0.621,-0.016,0.436,0.57,1,0.031,0.538,-0.02,0.431,0.051,0.608,-0.012,0.454
256,0.049,0.608,0.228,0.931,0.511,1,0.323,0.989,0.239,0.938,0.087,0.699,0.255,0.948,0.167,0.832,0.049,0.62,0.162,0.831,0.036,0.58,-0.026,0.407,0.063,0.647,-0.007,0.467,0.552,0.999,0.05,0.626,-0.012,0.457,0.067,0.657,0.005,0.495
257,-0.03,0.407,0.213,0.873,0.473,0.999,0.326,0.974,0.161,0.824,0.043,0.584,0.261,0.923,0.08,0.651,-0.012,0.454,0.086,0.665,-0.016,0.435,-0.059,0.327,0.017,0.524,-0.046,0.375,0.509,1,0,0.483,-0.052,0.346,0.016,0.528,-0.039,0.4
258,0.027,0.557,0.188,0.896,0.446,0.999,0.317,0.987,0.162,0.852,0.067,0.66,0.223,0.934,0.108,0.777,0.046,0.611,0.117,0.765,0.039,0.578,-0.046,0.368,0.027,0.543,0.004,0.489,0.42,0.998,0.01,0.49,-0.011,0.451,0.024,0.546,-0.003,0.471
259,-0.014,0.452,0.209,0.887,0.329,0.985,0.265,0.955,0.195,0.872,0.033,0.556,0.218,0.906,0.101,0.721,-0.009,0.452,0.107,0.725,-0.017,0.417,-0.097,0.233,-0.023,0.426,-0.07,0.31,0.372,0.993,-0.036,0.378,-0.076,0.288,-0.023,0.398,-0.059,0.328
260,-0.008,0.444,0.195,0.918,0.404,0.999,0.277,0.983,0.163,0.901,0.023,0.539,0.219,0.955,0.097,0.76,-0.015,0.41,0.101,0.772,-0.023,0.392,-0.095,0.196,-0.016,0.423,-0.077,0.246,0.443,1,-0.034,0.375,-0.084,0.208,-0.037,0.356,-0.065,0.272
261,0.047,0.583,0.232,0.893,0.542,1,0.367,0.98,0.233,0.887,0.071,0.625,0.284,0.93,0.153,0.783,0.029,0.547,0.146,0.765,0.024,0.527,-0.042,0.387,0.055,0.608,-0.006,0.461,0.595,1,0.033,0.552,-0.038,0.392,0.059,0.611,-0.017,0.439
262,0.06,0.637,0.213,0.928,0.506,0.999,0.337,0.993,0.233,0.934,0.103,0.725,0.256,0.95,0.173,0.87,0.061,0.631,0.167,0.843,0.059,0.624,-0.028,0.408,0.05,0.6,-0.002,0.476,0.519,1,0.031,0.54,0.005,0.494,0.038,0.558,0,0.472
263,0.038,0.555,0.147,0.809,0.52,1,0.312,0.979,0.184,0.867,0.049,0.589,0.221,0.913,0.141,0.802,0.027,0.536,0.151,0.812,0.013,0.501,-0.04,0.381,0.051,0.61,-0.014,0.452,0.557,1,0.033,0.569,-0.02,0.417,0.031,0.561,-0.003,0.465
264,0.062,0.641,0.229,0.928,0.505,0.999,0.343,0.987,0.247,0.955,0.08,0.689,0.27,0.957,0.181,0.866,0.053,0.606,0.185,0.874,0.056,0.632,-0.027,0.402,0.073,0.667,0.012,0.499,0.543,1,0.055,0.615,0.016,0.519,0.076,0.65,0.013,0.511
265,-0.053,0.345,0.165,0.829,0.526,0.998,0.315,0.977,0.143,0.77,0.007,0.511,0.231,0.916,0.057,0.612,-0.039,0.372,0.065,0.618,-0.039,0.372,-0.091,0.25,0.013,0.507,-0.061,0.32,0.558,1,-0.024,0.407,-0.065,0.334,-0.028,0.41,-0.044,0.358
266,-0.027,0.416,0.199,0.877,0.397,0.997,0.27,0.949,0.164,0.833,-0.009,0.474,0.211,0.899,0.078,0.683,-0.044,0.367,0.078,0.653,-0.054,0.332,-0.113,0.203,-0.014,0.445,-0.088,0.262,0.43,0.997,-0.036,0.394,-0.083,0.268,-0.017,0.438,-0.091,0.249
267,0.059,0.625,0.211,0.926,0.515,1,0.321,0.996,0.209,0.923,0.084,0.705,0.246,0.957,0.156,0.845,0.065,0.65,0.158,0.844,0.061,0.636,-0.033,0.357,0.055,0.634,0.008,0.49,0.523,1,0.036,0.571,-0.004,0.449,0.054,0.624,0.003,0.482
268,0.016,0.537,0.253,0.94,0.524,0.999,0.393,0.992,0.256,0.938,0.055,0.611,0.325,0.965,0.154,0.804,0.022,0.532,0.16,0.817,0.013,0.516,-0.069,0.323,0.028,0.549,-0.005,0.473,0.551,1,0.017,0.532,-0.011,0.459,0.025,0.54,-0.019,0.438
269,0.004,0.483,0.194,0.869,0.563,1,0.358,0.982,0.186,0.836,0.062,0.607,0.266,0.939,0.114,0.73,0.013,0.499,0.12,0.718,0.006,0.492,-0.067,0.323,0.049,0.579,-0.016,0.444,0.585,1,0.019,0.51,-0.029,0.426,0.025,0.532,-0.017,0.437
270,-0.067,0.304,0.148,0.77,0.33,0.985,0.211,0.909,0.102,0.708,-0.042,0.369,0.165,0.828,0.031,0.539,-0.071,0.302,0.03,0.537,-0.094,0.262,-0.148,0.147,-0.076,0.292,-0.114,0.203,0.345,0.99,-0.083,0.278,-0.122,0.186,-0.072,0.301,-0.111,0.227
271,-0.037,0.361,0.145,0.799,0.533,1,0.266,0.959,0.149,0.81,-0.015,0.434,0.19,0.885,0.091,0.691,-0.049,0.35,0.092,0.684,-0.056,0.318,-0.141,0.173,-0.03,0.39,-0.103,0.243,0.505,0.999,-0.047,0.356,-0.115,0.181,-0.052,0.341,-0.092,0.257
272,0.058,0.601,0.247,0.904,0.58,1,0.36,0.98,0.245,0.916,0.078,0.658,0.277,0.939,0.151,0.786,0.056,0.607,0.164,0.819,0.055,0.587,-0.038,0.39,0.073,0.638,0.01,0.499,0.58,1,0.031,0.544,-0.012,0.452,0.072,0.64,-0.009,0.463
273,-0.016,0.433,0.166,0.811,0.629,0.999,0.329,0.966,0.204,0.872,0.002,0.486,0.221,0.881,0.147,0.79,-0.028,0.408,0.144,0.769,-0.036,0.395,-0.124,0.213,0.03,0.539,-0.086,0.287,0.656,1,-0.007,0.459,-0.093,0.263,0.023,0.522,-0.093,0.253
274,-0.058,0.323,0.109,0.74,0.434,0.999,0.213,0.913,0.115,0.753,-0.044,0.359,0.135,0.769,0.056,0.602,-0.064,0.314,0.06,0.618,-0.084,0.259,-0.131,0.155,-0.043,0.366,-0.129,0.163,0.466,1,-0.064,0.321,-0.12,0.191,-0.069,0.295,-0.106,0.213
275,0.029,0.562,0.162,0.864,0.447,1,0.271,0.98,0.165,0.862,0.074,0.661,0.196,0.914,0.119,0.791,0.042,0.598,0.135,0.813,0.039,0.574,-0.022,0.401,0.051,0.61,0,0.475,0.449,1,0.033,0.565,-0.008,0.445,0.042,0.594,0.003,0.471
276,0.071,0.658,0.209,0.89,0.739,1,0.409,0.995,0.29,0.966,0.078,0.673,0.293,0.968,0.234,0.92,0.059,0.626,0.231,0.906,0.053,0.605,-0.011,0.442,0.109,0.738,0.017,0.525,0.684,0.999,0.072,0.651,0.004,0.478,0.09,0.689,0.005,0.477
277,0.013,0.51,0.151,0.833,0.427,0.999,0.298,0.977,0.136,0.796,0.039,0.576,0.212,0.924,0.097,0.729,0.001,0.477,0.094,0.707,0.006,0.488,-0.061,0.314,0.016,0.51,-0.021,0.423,0.448,0.999,0.002,0.473,-0.027,0.403,0.009,0.488,-0.033,0.374
278,-0.005,0.459,0.22,0.924,0.502,1,0.343,0.997,0.236,0.941,0.031,0.544,0.275,0.96,0.147,0.808,0.003,0.485,0.149,0.817,-0.015,0.417,-0.078,0.281,0.029,0.539,-0.043,0.379,0.532,1,-0.004,0.464,-0.061,0.328,-0.012,0.436,-0.042,0.362
279,-0.064,0.254,0.125,0.81,0.419,0.999,0.249,0.969,0.098,0.779,-0.025,0.376,0.169,0.914,0.036,0.573,-0.05,0.298,0.052,0.634,-0.067,0.257,-0.123,0.116,-0.038,0.33,-0.101,0.142,0.464,1,-0.057,0.271,-0.118,0.141,-0.089,0.19,-0.074,0.224
280,-0.01,0.448,0.226,0.937,0.475,1,0.341,0.992,0.177,0.873,0.047,0.596,0.249,0.96,0.101,0.719,0.016,0.514,0.109,0.759,0.005,0.495,-0.102,0.211,-0.03,0.389,-0.033,0.383,0.442,1,-0.039,0.375,-0.056,0.312,-0.024,0.399,-0.046,0.34
281,0.008,0.498,0.155,0.847,0.42,1,0.319,0.989,0.127,0.797,0.059,0.635,0.228,0.939,0.092,0.728,0.018,0.526,0.097,0.723,0.01,0.494,-0.054,0.315,0.018,0.519,-0.019,0.415,0.465,1,-0.003,0.451,-0.026,0.391,0.01,0.502,-0.016,0.421
282,0.026,0.544,0.137,0.796,0.51,1,0.294,0.973,0.145,0.799,0.094,0.714,0.222,0.916,0.11,0.725,0.04,0.567,0.107,0.731,0.034,0.569,-0.056,0.342,0.015,0.513,-0.019,0.439,0.485,1,0.008,0.491,-0.032,0.393,0.022,0.525,-0.02,0.425
283,0.005,0.486,0.182,0.883,0.422,1,0.286,0.973,0.184,0.885,0.021,0.534,0.211,0.901,0.121,0.791,-0.001,0.459,0.125,0.784,-0.018,0.419,-0.091,0.232,-0.008,0.456,-0.068,0.283,0.457,1,-0.024,0.399,-0.076,0.283,-0.025,0.399,-0.049,0.342
284,-0.024,0.408,0.207,0.871,0.41,0.999,0.302,0.976,0.221,0.914,-0.001,0.47,0.242,0.92,0.125,0.737,-0.037,0.377,0.126,0.75,-0.041,0.374,-0.097,0.24,0.002,0.482,-0.079,0.287,0.494,1,-0.01,0.463,-0.087,0.29,-0.019,0.438,-0.066,0.316
285,0.239,0.939,0.224,0.91,0.539,1,0.406,0.998,0.331,0.985,0.202,0.886,0.295,0.961,0.333,0.981,0.203,0.906,0.321,0.986,0.199,0.882,0.075,0.664,0.142,0.81,0.113,0.759,0.593,1,0.132,0.789,0.107,0.729,0.142,0.791,0.115,0.738
286,-0.039,0.381,0.17,0.826,0.402,0.996,0.281,0.948,0.139,0.8,0.02,0.52,0.215,0.902,0.061,0.618,-0.033,0.397,0.059,0.625,-0.036,0.384,-0.1,0.242,-0.014,0.436,-0.073,0.308,0.455,0.999,-0.033,0.389,-0.081,0.263,-0.022,0.418,-0.068,0.291
287,-0.029,0.376,0.121,0.788,0.327,0.994,0.229,0.955,0.115,0.784,-0.014,0.42,0.153,0.839,0.066,0.659,-0.032,0.383,0.07,0.658,-0.035,0.348,-0.121,0.149,-0.047,0.333,-0.079,0.242,0.371,0.997,-0.063,0.29,-0.089,0.224,-0.068,0.264,-0.08,0.242
288,0.045,0.556,0.157,0.805,0.449,0.998,0.288,0.973,0.173,0.845,0.054,0.586,0.211,0.882,0.13,0.773,0.039,0.571,0.129,0.759,0.026,0.544,0.004,0.482,0.094,0.665,0.02,0.53,0.504,1,0.057,0.599,0.016,0.51,0.074,0.643,0.026,0.542
289,0.017,0.503,0.218,0.905,0.553,1,0.355,0.985,0.231,0.914,0.052,0.6,0.265,0.965,0.15,0.809,0.03,0.547,0.155,0.809,0.01,0.487,-0.071,0.316,0.029,0.553,-0.024,0.408,0.542,0.999,0.009,0.496,-0.035,0.387,0.006,0.486,-0.021,0.419
290,-0.03,0.39,0.173,0.877,0.478,0.999,0.328,0.995,0.19,0.898,-0.001,0.462,0.243,0.945,0.117,0.765,-0.036,0.38,0.1,0.739,-0.048,0.331,-0.13,0.158,-0.027,0.404,-0.086,0.238,0.486,1,-0.048,0.317,-0.093,0.227,-0.042,0.342,-0.087,0.236
291,-0.004,0.442,0.215,0.959,0.348,1,0.295,0.994,0.185,0.932,0.029,0.562,0.252,0.976,0.104,0.784,-0.001,0.472,0.109,0.8,-0.015,0.409,-0.062,0.263,-0.016,0.417,-0.018,0.398,0.37,0.999,-0.02,0.398,-0.023,0.388,-0.011,0.418,-0.016,0.42
292,0.005,0.482,0.193,0.873,0.462,0.998,0.316,0.971,0.137,0.801,0.072,0.658,0.246,0.933,0.087,0.7,0.03,0.557,0.102,0.736,0.028,0.551,-0.041,0.392,0.025,0.539,-0.011,0.45,0.481,0.999,0.03,0.553,-0.015,0.443,0.034,0.568,0.003,0.481
293,-0.029,0.395,0.233,0.955,0.383,0.997,0.294,0.984,0.238,0.969,-0.006,0.447,0.244,0.961,0.105,0.756,-0.038,0.359,0.112,0.77,-0.04,0.358,-0.123,0.165,-0.023,0.409,-0.062,0.298,0.42,1,-0.05,0.331,-0.084,0.257,-0.037,0.358,-0.072,0.285
294,0.014,0.507,0.166,0.872,0.366,0.997,0.303,0.986,0.158,0.85,0.053,0.621,0.243,0.954,0.103,0.736,0.022,0.531,0.1,0.744,0.009,0.505,-0.087,0.261,-0.019,0.429,-0.031,0.4,0.402,0.996,-0.031,0.39,-0.042,0.365,-0.041,0.361,-0.037,0.371
