"Tree","MDI_1","p_1","MDI_2","p_2","MDI_3","p_3","MDI_4","p_4","MDI_5","p_5","MDI_6","p_6","MDI_7","p_7","MDI_8","p_8","MDI_9","p_9","MDI_10","p_10","MDI_11","p_11","MDI_12","p_12","MDI_13","p_13","MDI_14","p_14","MDI_15","p_15","MDI_16","p_16","MDI_17","p_17","MDI_18","p_18","MDI_19","p_19"
896,0.091,0.682,0.262,0.932,0.61,1,0.403,0.986,0.273,0.936,0.12,0.733,0.321,0.966,0.227,0.894,0.104,0.705,0.232,0.897,0.078,0.641,0.006,0.488,0.126,0.735,0.062,0.622,0.642,1,0.1,0.686,0.039,0.587,0.105,0.71,0.032,0.54
897,0.043,0.573,0.179,0.878,0.434,0.998,0.37,0.996,0.186,0.87,0.093,0.692,0.272,0.964,0.131,0.769,0.055,0.602,0.128,0.796,0.05,0.593,-0.022,0.428,0.048,0.585,0.033,0.542,0.483,1,0.033,0.555,0.029,0.532,0.059,0.621,0.022,0.527
898,-0.015,0.433,0.182,0.88,0.486,0.999,0.348,0.995,0.152,0.852,0.034,0.567,0.263,0.96,0.095,0.712,0,0.462,0.087,0.684,-0.013,0.435,-0.122,0.155,-0.035,0.37,-0.082,0.247,0.482,1,-0.048,0.343,-0.083,0.24,-0.053,0.317,-0.073,0.263
899,-0.062,0.291,0.142,0.845,0.478,1,0.313,0.99,0.131,0.786,-0.02,0.411,0.216,0.935,0.059,0.619,-0.053,0.345,0.06,0.639,-0.058,0.292,-0.133,0.125,-0.05,0.325,-0.083,0.22,0.489,0.999,-0.059,0.297,-0.1,0.176,-0.075,0.252,-0.083,0.24
900,0,0.487,0.22,0.89,0.395,0.989,0.315,0.959,0.186,0.832,0.046,0.589,0.266,0.925,0.106,0.705,0.001,0.486,0.107,0.693,0.013,0.515,-0.083,0.286,-0.003,0.473,-0.041,0.389,0.449,0.995,-0.03,0.406,-0.052,0.359,0.001,0.483,-0.052,0.352
901,-0.014,0.439,0.206,0.877,0.514,1,0.361,0.989,0.223,0.922,0.023,0.534,0.276,0.949,0.141,0.802,-0.02,0.429,0.14,0.787,-0.028,0.399,-0.082,0.29,0.023,0.541,-0.038,0.367,0.531,1,-0.019,0.426,-0.054,0.348,-0.005,0.46,-0.042,0.368
902,-0.01,0.425,0.188,0.918,0.384,0.999,0.314,0.989,0.173,0.902,0.035,0.581,0.236,0.971,0.109,0.782,0,0.467,0.108,0.784,-0.016,0.424,-0.077,0.226,-0.013,0.433,-0.037,0.35,0.416,1,-0.031,0.376,-0.042,0.346,-0.022,0.401,-0.036,0.359
903,0.099,0.729,0.257,0.94,0.472,0.999,0.378,0.997,0.275,0.938,0.113,0.739,0.31,0.979,0.216,0.912,0.092,0.694,0.224,0.913,0.079,0.667,-0.023,0.412,0.054,0.617,0.02,0.518,0.527,1,0.039,0.571,0.008,0.502,0.049,0.598,0.011,0.509
904,0.008,0.501,0.205,0.913,0.509,1,0.313,0.986,0.209,0.924,0.017,0.524,0.25,0.959,0.143,0.821,0,0.48,0.139,0.822,-0.008,0.451,-0.063,0.298,0.046,0.601,-0.034,0.378,0.538,1,0.026,0.556,-0.043,0.364,0.013,0.512,-0.02,0.421
905,0,0.48,0.144,0.845,0.375,1,0.241,0.974,0.125,0.79,0.038,0.586,0.181,0.912,0.073,0.678,0.023,0.542,0.072,0.681,0.01,0.513,-0.038,0.371,0.029,0.537,-0.016,0.433,0.401,0.999,0.023,0.535,-0.025,0.401,0.012,0.511,-0.006,0.455
906,-0.062,0.298,0.11,0.754,0.45,0.998,0.273,0.97,0.092,0.712,0,0.465,0.176,0.873,0.05,0.608,-0.039,0.35,0.056,0.638,-0.036,0.366,-0.138,0.119,-0.041,0.336,-0.092,0.248,0.45,0.997,-0.064,0.311,-0.091,0.211,-0.055,0.305,-0.085,0.215
907,-0.064,0.289,0.174,0.885,0.351,1,0.215,0.941,0.156,0.868,-0.047,0.341,0.173,0.88,0.064,0.647,-0.071,0.262,0.069,0.676,-0.089,0.222,-0.133,0.119,-0.048,0.332,-0.113,0.173,0.399,1,-0.069,0.275,-0.12,0.141,-0.063,0.297,-0.102,0.163
908,-0.057,0.324,0.145,0.821,0.414,1,0.31,0.968,0.096,0.71,0.016,0.524,0.231,0.924,0.023,0.527,-0.029,0.394,0.028,0.551,-0.042,0.354,-0.119,0.181,-0.036,0.375,-0.08,0.276,0.456,1,-0.047,0.333,-0.086,0.247,-0.063,0.318,-0.071,0.283
909,0.069,0.629,0.253,0.904,0.629,1,0.405,0.993,0.239,0.907,0.12,0.714,0.307,0.956,0.184,0.822,0.07,0.635,0.205,0.851,0.062,0.623,-0.019,0.439,0.099,0.693,0.031,0.549,0.644,1,0.06,0.611,0.008,0.502,0.087,0.65,0.02,0.535
910,-0.083,0.258,0.144,0.839,0.501,1,0.256,0.973,0.105,0.755,-0.029,0.387,0.171,0.882,0.036,0.579,-0.068,0.283,0.04,0.596,-0.075,0.261,-0.132,0.111,-0.034,0.381,-0.091,0.213,0.466,0.999,-0.054,0.306,-0.104,0.195,-0.043,0.339,-0.091,0.207
911,-0.089,0.226,0.086,0.696,0.347,0.987,0.276,0.96,0.043,0.593,-0.007,0.447,0.188,0.885,0,0.457,-0.059,0.31,0.009,0.483,-0.062,0.309,-0.156,0.115,-0.077,0.271,-0.103,0.189,0.372,0.995,-0.099,0.223,-0.12,0.167,-0.087,0.235,-0.104,0.189
912,-0.007,0.451,0.13,0.836,0.459,1,0.324,0.997,0.166,0.88,0.021,0.538,0.225,0.953,0.109,0.778,-0.015,0.431,0.113,0.787,-0.022,0.399,-0.109,0.159,-0.023,0.39,-0.066,0.268,0.46,1,-0.049,0.334,-0.071,0.268,-0.044,0.328,-0.057,0.315
913,-0.003,0.47,0.201,0.874,0.474,1,0.351,0.985,0.174,0.856,0.042,0.572,0.272,0.947,0.099,0.725,-0.001,0.471,0.112,0.756,-0.001,0.465,-0.081,0.281,0.001,0.479,-0.045,0.375,0.517,1,-0.018,0.434,-0.044,0.369,0,0.472,-0.04,0.38
914,-0.057,0.329,0.186,0.888,0.459,1,0.29,0.985,0.145,0.825,-0.015,0.43,0.227,0.933,0.071,0.672,-0.055,0.314,0.074,0.674,-0.061,0.303,-0.133,0.129,-0.039,0.352,-0.094,0.21,0.483,1,-0.05,0.339,-0.106,0.205,-0.045,0.348,-0.09,0.242
915,0.077,0.67,0.229,0.926,0.651,1,0.409,0.996,0.268,0.942,0.106,0.725,0.307,0.968,0.206,0.912,0.094,0.696,0.219,0.909,0.079,0.66,-0.014,0.433,0.107,0.719,0.034,0.56,0.663,1,0.078,0.669,0.032,0.552,0.097,0.687,0.03,0.542
916,-0.007,0.461,0.18,0.868,0.494,1,0.319,0.987,0.195,0.885,0.022,0.538,0.235,0.948,0.112,0.752,0.002,0.482,0.113,0.751,-0.02,0.429,-0.077,0.282,0.027,0.552,-0.04,0.365,0.534,1,0,0.478,-0.032,0.393,0.004,0.478,-0.03,0.397
