"","ModMeanVal","ModMinVal","ModMaxVal","Age","AncVal","MCCAbsRateMean","MCCAbsRateMin","MCCAbsRateMax","MeanAbsRate_Mean","MeanLower95Rate","MeanUpper95Rate","MinAbsRate_Mean","MinLower95Rate","MinUpper95Rate","MaxAbsRate_Mean","MaxLower95Rate","MaxUpper95Rate"
"A_97.5_15",35.4259256998698,27.5666656494141,42.7666656494141,22.682308557,33.919743007245,0.0664034125468249,0.280089539469307,0.390036253141389,0.0789524028847465,0.036568599387878,0.12360990059712,0.289487542017139,0.0765165908769773,0.581710058217507,0.423084268376632,0.200720650387247,0.727870867429221
"A_97.5_16",41.3333343505859,41.3333343505859,41.3333343505859,15.491661588,35.9755519787165,0.345849432705111,0.345849432705111,0.345849432705111,0.332798814328216,0.123350901907636,0.614342090019283,0.332798814328216,0.123350901907636,0.614342090019283,0.332798814328216,0.123350901907636,0.614342090019283
"A_97.5_17",35.0333343505859,35.0333343505859,35.0333343505859,79.96952531,29.0585686004776,0.07471303258269,0.07471303258269,0.07471303258269,0.0839730706258607,0.0391680108183572,0.137116860156846,0.0839730706258606,0.0391680108183572,0.137116860156846,0.0839730706258606,0.0391680108183572,0.137116860156846
"A_97.5_18",37.233332824707,36.5666656494141,37.9,22.963416705,36.0346766148852,0.0521985131925431,0.0231668066369705,0.0812302197481203,0.064106606983922,0.000159557031421503,0.179528601398744,0.0575804702295517,0.000196448521167271,0.259876879620401,0.077183717434265,0.000445612749553805,0.144292732564578
"A_97.5_19",41.3333343505859,41.3333343505859,41.3333343505859,26.18291382,35.5545841865458,0.220706916112064,0.220706916112064,0.220706916112064,0.216163218080834,0.113641641421536,0.33776601295834,0.216163218080834,0.113641641421536,0.33776601295834,0.216163218080834,0.113641641421536,0.33776601295834
"A_97.5_21",10.5,10.5,10.5,37.543150907,18.0089412106882,0.200008284581359,0.200008284581359,0.200008284581359,0.232356037310902,0.107024728983657,0.368470244883521,0.232356037310902,0.107024728983657,0.368470244883521,0.232356037310902,0.107024728983657,0.368470244883521
"A_97.5_22",29.3333343505859,29.3333343505859,29.3333343505859,18.001933484,36.5479997818113,0.400771696975645,0.400771696975645,0.400771696975645,0.430793541314594,0.174827215772216,0.726968648341782,0.430793541314595,0.174827215772216,0.726968648341782,0.430793541314595,0.174827215772216,0.726968648341782
"A_97.5_25",10.5,10.5,10.5,36.105559681,26.2496195776256,0.436210370834206,0.436210370834206,0.436210370834206,0.480665551863211,0.25001830034077,0.741553669527416,0.480665551863211,0.25001830034077,0.741553669527416,0.480665551863211,0.25001830034077,0.741553669527416
"A_97.5_26",38.4,34.0333343505859,42.7666656494141,29.314028561,32.5373857355531,0.199993469073939,0.0510318331688827,0.348955104978995,0.213753233736879,0.119563005219492,0.333930765899019,0.0571000454308027,0.0184174963334621,0.0996554438403387,0.370743725866314,0.1979877338536,0.580764557133275
"A_97.5_28",33.5666676839192,33.5333343505859,33.6333343505859,9.89882831400001,33.6171755279384,0.00510240630678872,0.00846980821294759,0.00163239750553835,0.00981276904695879,8.30529570195728e-06,0.027038937738869,0.0123512572370491,1.31098201243258e-05,0.0333096177682342,0.00715416691972543,1.20184631551498e-05,0.0193300641175727
